Esemble Gene ID,RP3V,ARC Log2>7,Gene Name
ENSMUSG00000034647,8.57,9.99,Ankrd12
ENSMUSG00000039988,4.41,7.03,Ankrd13c
ENSMUSG00000055204,9.05,9.75,Ankrd17
ENSMUSG00000054708,1.47,7.09,Ankrd24
ENSMUSG00000020864,4.78,7.86,Ankrd40
ENSMUSG00000044835,4.59,7.48,Ankrd45
ENSMUSG00000048307,6.84,9.65,Ankrd46
ENSMUSG00000033055,5.09,7.47,Ankrd54
ENSMUSG00000058589,4.84,8.33,Anks1b
ENSMUSG00000032249,6.4,9.19,Anp32a
ENSMUSG00000028333,10.32,10.05,Anp32b
ENSMUSG00000015749,6.01,9.7,Anp32e
ENSMUSG00000027712,12.32,12.41,Anxa5
ENSMUSG00000021814,2.74,9.5,Anxa7
ENSMUSG00000074238,7.93,9.44,Ap1ar
ENSMUSG00000009090,4.92,8.77,Ap1b1
ENSMUSG00000003033,5.27,9.16,Ap1m1
ENSMUSG00000004849,7.42,10.33,Ap1s1
ENSMUSG00000031367,9.95,12.61,Ap1s2
ENSMUSG00000002957,11.17,7.99,Ap2a2
ENSMUSG00000022841,10.74,13.24,Ap2m1
ENSMUSG00000081272,7.36,9.63,Ap2m1-ps
ENSMUSG00000008036,11.51,11.46,Ap2s1
ENSMUSG00000021686,0,7.05,Ap3b1
ENSMUSG00000062444,7.83,8.61,Ap3b2
ENSMUSG00000020198,8.17,8.02,Ap3d1
ENSMUSG00000021824,6.7,9.41,Ap3m1
ENSMUSG00000024480,6.9,10.61,Ap3s1
ENSMUSG00000063801,7.01,8.36,Ap3s2
ENSMUSG00000020955,10.12,11.24,Ap4s1
ENSMUSG00000037032,6.63,10.51,Apbb1
ENSMUSG00000035960,5.46,9.68,Apex1
ENSMUSG00000027193,2.6,8.34,Api5
ENSMUSG00000010911,5.3,9.02,Apip
ENSMUSG00000006651,12.59,13.16,Aplp1
ENSMUSG00000031996,10.19,11.47,Aplp2
ENSMUSG00000033096,9.22,9.68,Apmap
ENSMUSG00000079508,11.69,12.32,Apoo
ENSMUSG00000049233,6.26,7.12,Apoo-ps
ENSMUSG00000037787,8.93,10.51,Apopt1
ENSMUSG00000022892,13.48,13.5,App
ENSMUSG00000018481,8.98,10.92,Appbp2
