cluster_id	rho_rp3v	rho_arc	delta_rp3v_minus_arc	label	parent_supertype	mfr	top_anat	top_anat_n	delta_arc_minus_rp3v
CS20230722_CLUS_4487	0.346207525991086	0.269053890210297	0.07715363578078899	4487 MV-SPIV Phox2b Ebf3 Lbx1 Glut_3	CS20230722_SUPT_0994	0.56	Medial vestibular nucleus	20.0	-0.07715363578078899
CS20230722_CLUS_1710	0.35682097270850227	0.2797461045467305	0.07707486816177178	1710 AHN Onecut3 Gaba_3	CS20230722_SUPT_0458	2.33	Hypothalamus	73.0	-0.07707486816177178
CS20230722_CLUS_1409	0.3565942679206586	0.2795478022615271	0.07704646565913154	1409 CEA-BST Rai14 Pdyn Crh Gaba_2	CS20230722_SUPT_0393	0.92	Bed nuclei of the stria terminalis	40.0	-0.07704646565913154
CS20230722_CLUS_1503	0.33107032964070326	0.25409140613863584	0.07697892350206742	1503 PVR Six3 Sox3 Gaba_1	CS20230722_SUPT_0411	0.92	Hypothalamus	12.0	-0.07697892350206742
CS20230722_CLUS_1823	0.3335226190141233	0.2565787212276613	0.07694389778646199	1823 PVHd-DMH Lhx6 Gaba_2	CS20230722_SUPT_0475	1.86	Lateral hypothalamic area	6.0	-0.07694389778646199
CS20230722_CLUS_4750	0.34185089207102676	0.2649275610697413	0.07692333100128546	4750 PDTg-PCG Pax6 Gaba_1	CS20230722_SUPT_1061	0.64	Pontine central gray	9.0	-0.07692333100128546
CS20230722_CLUS_3665	0.3498617199262414	0.27294198602800995	0.07691973389823142	3665 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6	CS20230722_SUPT_0839	1.22	Subparafascicular nucleus, magnocellular part	18.0	-0.07691973389823142
CS20230722_CLUS_3501	0.383280662282952	0.3064290081645149	0.07685165411843708	3501 IC Six3 En2 Gaba_6	CS20230722_SUPT_0812	1.17	Cuneiform nucleus	30.0	-0.07685165411843708
CS20230722_CLUS_1077	0.3563594391765817	0.27954101808455484	0.07681842109202686	1077 LSX Nkx2-1 Gaba_2	CS20230722_SUPT_0307	0.96	Lateral septal nucleus, rostral (rostroventral) part	78.0	-0.07681842109202686
CS20230722_CLUS_4725	0.35241918789296584	0.2756156149373854	0.07680357295558043	4725 NI-RPO Gata3 Nr4a2 Gaba_2	CS20230722_SUPT_1053	0.45	Pons	3.0	-0.07680357295558043
CS20230722_CLUS_1949	0.3331851699128552	0.2563884287648622	0.07679674114799301	1949 DMH Hmx2 Gaba_4	CS20230722_SUPT_0490	0.79	Dorsomedial nucleus of the hypothalamus	5.0	-0.07679674114799301
CS20230722_CLUS_1619	0.34631940180314397	0.2695294820458842	0.0767899197572598	1619 DMH Prdm13 Gaba_1	CS20230722_SUPT_0439	1.56	Dorsomedial nucleus of the hypothalamus	19.0	-0.0767899197572598
CS20230722_CLUS_1106	0.35669534712858564	0.2799059147988106	0.07678943232977503	1106 LSX Nkx2-1 Gaba_7	CS20230722_SUPT_0312	0.92	Lateral septal nucleus, rostral (rostroventral) part	62.0	-0.07678943232977503
CS20230722_CLUS_1959	0.346283412549552	0.2695456782894984	0.07673773426005365	1959 DMH Hmx2 Gaba_6	CS20230722_SUPT_0492	1.78	Dorsomedial nucleus of the hypothalamus	82.0	-0.07673773426005365
CS20230722_CLUS_1941	0.3607642815492367	0.28403841483886677	0.0767258667103699	1941 DMH Hmx2 Gaba_3	CS20230722_SUPT_0489	1.7	Dorsomedial nucleus of the hypothalamus	46.0	-0.0767258667103699
CS20230722_CLUS_1713	0.34166362580464205	0.2649654459837554	0.07669817982088667	1713 AHN Onecut3 Gaba_3	CS20230722_SUPT_0458	0.92	Hypothalamus	19.0	-0.07669817982088667
CS20230722_CLUS_4729	0.3329851066802049	0.2562934253273339	0.07669168135287102	4729 NI-RPO Gata3 Nr4a2 Gaba_3	CS20230722_SUPT_1054	1.63	Nucleus incertus	17.0	-0.07669168135287102
CS20230722_CLUS_1518	0.33980294012007994	0.26312707747832126	0.07667586264175869	1518 PVR Six3 Sox3 Gaba_4	CS20230722_SUPT_0414	0.72	Lateral septal nucleus, ventral part	34.0	-0.07667586264175869
