# metadata = mmc_output.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
O242,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,0.7900
O243,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O248,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,1.0000
O250,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_051,051 Pvalb chandelier Gaba,0.9500,CS20230722_SUPT_0204,0204 Pvalb chandelier Gaba_1,1.0000,CS20230722_CLUS_0732,0732 Pvalb chandelier Gaba_1,613,1.0000
O255,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O284,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,0.5500,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O285,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.8600
O286,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.7700
O287,CS20230722_CLAS_34,34 Immune,0.4300,CS20230722_SUBC_334,334 Microglia NN,1.0000,CS20230722_SUPT_1194,1194 Microglia NN_1,1.0000,CS20230722_CLUS_5312,5312 Microglia NN_1,5283,1.0000
O290,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O292,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0737,0737 Pvalb Gaba_2,608,0.9700
O296,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
O297,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_SUPT_0206,0206 Pvalb Gaba_2,1.0000,CS20230722_CLUS_0739,0739 Pvalb Gaba_2,612,1.0000
