# metadata = result.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.7.1
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
Icesis,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9900,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0181,0181 Vip Gaba_9,1.0000,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,1.0000
Raam,CS20230722_CLAS_06,06 CTX-CGE GABA,0.8500,CS20230722_SUBC_046,046 Vip Gaba,0.9100,CS20230722_SUPT_0182,0182 Vip Gaba_10,0.6600,CS20230722_CLUS_0659,0659 Vip Gaba_10,691,1.0000
Asaph,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.9900,CS20230722_SUPT_0177,0177 Vip Gaba_5,0.7100,CS20230722_CLUS_0642,0642 Vip Gaba_5,631,0.9600
Carla,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9800,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9900,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9900
Deaken,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.9600,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9300,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.8900
Dmya,CS20230722_CLAS_06,06 CTX-CGE GABA,0.7800,CS20230722_SUBC_046,046 Vip Gaba,0.9700,CS20230722_SUPT_0182,0182 Vip Gaba_10,1.0000,CS20230722_CLUS_0659,0659 Vip Gaba_10,691,1.0000
Mairead,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.7300,CS20230722_SUPT_0179,0179 Vip Gaba_7,0.5200,CS20230722_CLUS_0650,0650 Vip Gaba_7,647,0.6500
Adis,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.9100,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.8800
Badr,CS20230722_CLAS_06,06 CTX-CGE GABA,0.9500,CS20230722_SUBC_046,046 Vip Gaba,0.9900,CS20230722_SUPT_0179,0179 Vip Gaba_7,0.9600,CS20230722_CLUS_0649,0649 Vip Gaba_7,646,0.9300
Ariaunna,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,0.7400,CS20230722_SUPT_0173,0173 Vip Gaba_1,0.7600,CS20230722_CLUS_0623,0623 Vip Gaba_1,649,0.9700
Carsin,CS20230722_CLAS_06,06 CTX-CGE GABA,1.0000,CS20230722_SUBC_046,046 Vip Gaba,1.0000,CS20230722_SUPT_0181,0181 Vip Gaba_9,0.6700,CS20230722_CLUS_0655,0655 Vip Gaba_9,648,0.9300
