source_label,level,target_name,n_cells,coverage,purity,f1,mean_boot,median_boot
MC-11_Sst_Sema3c,subclass,057 NDB-SI-MA-STRv Lhx8 Gaba,2,0.0625,0.14285714285714285,0.08695652173913043,1.0,1.0
MC-11_Sst_Sema3c,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,3,0.09375,0.006535947712418301,0.012219959266802444,1.0,1.0
MC-11_Sst_Sema3c,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,2,0.0625,0.031746031746031744,0.042105263157894736,1.0,1.0
MC-11_Sst_Sema3c,subclass,082 CEA-BST Ebf1 Pdyn Gaba,25,0.78125,0.03526093088857546,0.06747638326585695,0.9932,1.0
MC-12_Sst_other,subclass,014 LA-BLA-BMA-PA Glut,3,0.023076923076923078,0.11538461538461539,0.038461538461538464,1.0,1.0
MC-12_Sst_other,subclass,056 Sst Chodl Gaba,2,0.015384615384615385,0.6666666666666666,0.03007518796992481,1.0,1.0
MC-12_Sst_other,subclass,062 STR D2 Gaba,7,0.05384615384615385,0.06140350877192982,0.05737704918032786,1.0,1.0
MC-12_Sst_other,subclass,065 IA Mgp Gaba,2,0.015384615384615385,0.2857142857142857,0.029197080291970805,1.0,1.0
MC-12_Sst_other,subclass,073 MEA-BST Sox6 Gaba,1,0.007692307692307693,0.25,0.014925373134328361,1.0,1.0
MC-12_Sst_other,subclass,074 MEA-BST Lhx6 Sp9 Gaba,3,0.023076923076923078,0.42857142857142855,0.043795620437956206,1.0,1.0
MC-12_Sst_other,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,75,0.5769230769230769,0.16339869281045752,0.2546689303904924,0.9914666666666666,1.0
MC-12_Sst_other,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,8,0.06153846153846154,0.12698412698412698,0.08290155440414508,0.9924999999999999,0.995
MC-12_Sst_other,subclass,082 CEA-BST Ebf1 Pdyn Gaba,20,0.15384615384615385,0.028208744710860368,0.047675804529201435,0.9949999999999999,1.0
MC-12_Sst_other,subclass,215 SNc-VTA-RAmb Foxa1 Dopa,1,0.007692307692307693,1.0,0.015267175572519085,1.0,1.0
MC-12_Sst_other,subclass,327 Oligo NN,2,0.015384615384615385,0.2857142857142857,0.029197080291970805,1.0,1.0
MC-12_Sst_other,subclass,330 VLMC NN,1,0.007692307692307693,0.25,0.014925373134328361,0.85,0.85
MC-12_Sst_other,subclass,332 SMC NN,5,0.038461538461538464,0.3333333333333333,0.06896551724137931,1.0,1.0
MC-16_Nefm_Htr1b,subclass,014 LA-BLA-BMA-PA Glut,4,0.028368794326241134,0.15384615384615385,0.04790419161676648,1.0,1.0
MC-16_Nefm_Htr1b,subclass,057 NDB-SI-MA-STRv Lhx8 Gaba,1,0.0070921985815602835,0.07142857142857142,0.012903225806451613,1.0,1.0
MC-16_Nefm_Htr1b,subclass,062 STR D2 Gaba,28,0.19858156028368795,0.24561403508771928,0.2196078431372549,0.99,1.0
MC-16_Nefm_Htr1b,subclass,065 IA Mgp Gaba,1,0.0070921985815602835,0.14285714285714285,0.01351351351351351,1.0,1.0
MC-16_Nefm_Htr1b,subclass,077 CEA-BST Gal Avp Gaba,1,0.0070921985815602835,0.05555555555555555,0.012578616352201259,1.0,1.0
MC-16_Nefm_Htr1b,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,16,0.11347517730496454,0.034858387799564274,0.05333333333333334,0.998125,1.0
MC-16_Nefm_Htr1b,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,4,0.028368794326241134,0.06349206349206349,0.0392156862745098,1.0,1.0
MC-16_Nefm_Htr1b,subclass,082 CEA-BST Ebf1 Pdyn Gaba,84,0.5957446808510638,0.11847672778561354,0.1976470588235294,0.9897619047619047,1.0
MC-16_Nefm_Htr1b,subclass,120 MEA Otp Foxp2 Glut,1,0.0070921985815602835,1.0,0.014084507042253521,0.91,0.91
MC-16_Nefm_Htr1b,subclass,333 Endo NN,1,0.0070921985815602835,0.07692307692307693,0.012987012987012988,1.0,1.0
MC-21_ITC_Drd1Penk,subclass,014 LA-BLA-BMA-PA Glut,1,0.047619047619047616,0.038461538461538464,0.0425531914893617,0.92,0.92
MC-21_ITC_Drd1Penk,subclass,061 STR D1 Gaba,4,0.19047619047619047,0.5,0.27586206896551724,0.9924999999999999,1.0
MC-21_ITC_Drd1Penk,subclass,064 STR-PAL Chst9 Gaba,1,0.047619047619047616,0.5,0.08695652173913042,0.94,0.94
MC-21_ITC_Drd1Penk,subclass,065 IA Mgp Gaba,1,0.047619047619047616,0.14285714285714285,0.07142857142857142,1.0,1.0
MC-21_ITC_Drd1Penk,subclass,079 CEA-BST Six3 Cyp26b1 Gaba,5,0.23809523809523808,0.010893246187363835,0.020833333333333336,1.0,1.0
MC-21_ITC_Drd1Penk,subclass,080 CEA-AAA-BST Six3 Sp9 Gaba,1,0.047619047619047616,0.015873015873015872,0.023809523809523808,1.0,1.0
MC-21_ITC_Drd1Penk,subclass,082 CEA-BST Ebf1 Pdyn Gaba,7,0.3333333333333333,0.009873060648801129,0.019178082191780823,0.9757142857142858,1.0
MC-21_ITC_Drd1Penk,subclass,327 Oligo NN,1,0.047619047619047616,0.14285714285714285,0.07142857142857142,1.0,1.0
MC-22_unclassified,subclass,001 CLA-EPd-CTX Car3 Glut,1,0.0025974025974025974,1.0,0.0051813471502590676,1.0,1.0
MC-22_unclassified,subclass,014 LA-BLA-BMA-PA Glut,4,0.01038961038961039,0.15384615384615385,0.0194647201946472,1.0,1.0
MC-22_unclassified,subclass,045 OB-STR-CTX Inh IMN,2,0.005194805194805195,1.0,0.0103359173126615,0.95,0.95
MC-22_unclassified,subclass,048 RHP-COA Ndnf Gaba,1,0.0025974025974025974,1.0,0.0051813471502590676,1.0,1.0
MC-22_unclassified,subclass,054 STR Prox1 Lhx6 Gaba,1,0.0025974025974025974,1.0,0.0051813471502590676,1.0,1.0
