source_label,level,target_name,n_cells,group_purity,target_purity,f1,mean_boot,median_boot
Granule-immature,supertype,0136 DG Glut_1,4,0.006896551724137931,0.6666666666666666,0.013651877133105802,0.9249999999999999,0.95
Granule-immature,supertype,0137 DG Glut_2,437,0.753448275862069,0.49942857142857144,0.6006872852233678,0.9579633867276888,0.98
Granule-immature,supertype,0138 DG Glut_3,2,0.0034482758620689655,0.09523809523809523,0.006655574043261231,0.855,0.855
Granule-immature,supertype,0139 DG Glut_4,1,0.0017241379310344827,0.5,0.0034364261168384883,0.87,0.87
Granule-immature,supertype,0141 DG-PIR Ex IMN_2,75,0.12931034482758622,0.1681614349775785,0.14619883040935674,0.9978666666666667,1.0
Granule-mature,supertype,0013 L6 IT CTX Glut_1,1,0.0016420361247947454,1.0,0.0032786885245901635,0.85,0.85
Granule-mature,supertype,0032 L2/3 IT CTX Glut_4,29,0.047619047619047616,1.0,0.0909090909090909,0.9637931034482758,0.98
Granule-mature,supertype,0039 L2/3 IT PIR-ENTl Glut_1,13,0.021346469622331693,0.7222222222222222,0.04146730462519937,0.9069230769230768,0.9
Granule-mature,supertype,0044 L2/3 IT PIR-ENTl Glut_6,1,0.0016420361247947454,1.0,0.0032786885245901635,0.86,0.86
Granule-mature,supertype,0046 IT AON-TT-DP Glut_1,23,0.03776683087027915,0.92,0.07255520504731862,0.9352173913043478,0.95
Granule-mature,supertype,0047 IT AON-TT-DP Glut_2,3,0.0049261083743842365,0.75,0.009787928221859706,0.9433333333333334,0.95
Granule-mature,supertype,0055 MEA Slc17a7 Glut_1,17,0.027914614121510674,0.68,0.05362776025236593,0.8988235294117647,0.9
Granule-mature,supertype,0057 MEA Slc17a7 Glut_3,4,0.006568144499178982,1.0,0.013050570962479607,0.8925,0.885
Granule-mature,supertype,0058 COAp Grxcr2 Glut_1,5,0.008210180623973728,0.5,0.01615508885298869,0.9460000000000001,0.94
Granule-mature,supertype,0059 COAp Grxcr2 Glut_2,10,0.016420361247947456,0.9090909090909091,0.03225806451612903,0.942,0.96
Granule-mature,supertype,0060 LA-BLA-BMA-PA Glut_1,2,0.003284072249589491,0.5,0.006525285481239804,0.845,0.845
Granule-mature,supertype,0061 LA-BLA-BMA-PA Glut_2,1,0.0016420361247947454,1.0,0.0032786885245901635,0.85,0.85
Granule-mature,supertype,0068 ENTmv-PA-COAp Glut_3,1,0.0016420361247947454,1.0,0.0032786885245901635,0.95,0.95
Granule-mature,supertype,0072 CA1-ProS Glut_4,3,0.0049261083743842365,1.0,0.00980392156862745,0.87,0.87
Granule-mature,supertype,0101 CA2-FC-IG Glut_2,39,0.06403940886699508,0.5342465753424658,0.11436950146627566,0.9861538461538462,1.0
Granule-mature,supertype,0136 DG Glut_1,1,0.0016420361247947454,0.16666666666666666,0.003252032520325203,0.97,0.97
Granule-mature,supertype,0137 DG Glut_2,433,0.7110016420361248,0.4948571428571429,0.5835579514824798,0.9352424942263279,0.95
Granule-mature,supertype,0138 DG Glut_3,18,0.029556650246305417,0.8571428571428571,0.05714285714285714,0.9666666666666666,0.995
Granule-mature,supertype,0139 DG Glut_4,1,0.0016420361247947454,0.5,0.003273322422258592,0.86,0.86
Granule-mature,supertype,0141 DG-PIR Ex IMN_2,1,0.0016420361247947454,0.002242152466367713,0.0018957345971563982,1.0,1.0
Granule-mature,supertype,0147 OB Meis2 Thsd7b Gaba_5,1,0.0016420361247947454,1.0,0.0032786885245901635,0.88,0.88
Granule-mature,supertype,1196 Monocytes NN_1,1,0.0016420361247947454,1.0,0.0032786885245901635,1.0,1.0
Granule-mature,supertype,1197 DC NN_1,1,0.0016420361247947454,1.0,0.0032786885245901635,1.0,1.0
Microglia,supertype,1194 Microglia NN_1,70,0.9859154929577465,1.0,0.9929078014184397,1.0,1.0
Microglia,supertype,1195 BAM NN_1,1,0.014084507042253521,0.1,0.02469135802469136,1.0,1.0
Mossy-Adcyap1,supertype,0075 CA3 Glut_1,1,0.037037037037037035,1.0,0.07142857142857142,0.95,0.95
Mossy-Adcyap1,supertype,0076 CA3 Glut_2,2,0.07407407407407407,1.0,0.13793103448275862,0.975,0.975
Mossy-Adcyap1,supertype,0077 CA3 Glut_3,3,0.1111111111111111,0.5,0.1818181818181818,1.0,1.0
Mossy-Adcyap1,supertype,0079 CA3 Glut_5,20,0.7407407407407407,0.9523809523809523,0.8333333333333334,0.9945,1.0
Mossy-Adcyap1,supertype,0100 CA2-FC-IG Glut_1,1,0.037037037037037035,1.0,0.07142857142857142,0.98,0.98
Mossy-Cyp26b1,supertype,0077 CA3 Glut_3,1,0.029411764705882353,0.16666666666666666,0.05,0.82,0.82
Mossy-Cyp26b1,supertype,0078 CA3 Glut_4,33,0.9705882352941176,0.9166666666666666,0.9428571428571428,0.9918181818181817,1.0
Mossy-Klk8,supertype,0077 CA3 Glut_3,2,0.2857142857142857,0.3333333333333333,0.30769230769230765,0.9,0.9
Mossy-Klk8,supertype,0078 CA3 Glut_4,3,0.42857142857142855,0.08333333333333333,0.13953488372093023,0.94,0.95
Mossy-Klk8,supertype,0079 CA3 Glut_5,1,0.14285714285714285,0.047619047619047616,0.07142857142857142,0.99,0.99
Mossy-Klk8,supertype,0979 PGRN-PARN-MDRN Hoxb5 Glut_7,1,0.14285714285714285,1.0,0.25,1.0,1.0
NFOL,supertype,1181 COP NN_1,11,0.9166666666666666,0.25,0.3928571428571429,1.0,1.0
NFOL,supertype,1182 NFOL NN_2,1,0.08333333333333333,0.5,0.14285714285714285,1.0,1.0
Neuroblast 1,supertype,0141 DG-PIR Ex IMN_2,35,0.9459459459459459,0.07847533632286996,0.14492753623188406,0.998,1.0
Neuroblast 1,supertype,0166 OB-STR-CTX Inh IMN_1,1,0.02702702702702703,0.125,0.044444444444444446,0.81,0.81
Neuroblast 1,supertype,0168 OB-STR-CTX Inh IMN_3,1,0.02702702702702703,0.06666666666666667,0.038461538461538464,0.83,0.83
Neuroblast 2,supertype,0055 MEA Slc17a7 Glut_1,1,0.0029154518950437317,0.04,0.005434782608695652,1.0,1.0
Neuroblast 2,supertype,0136 DG Glut_1,1,0.0029154518950437317,0.16666666666666666,0.005730659025787966,0.81,0.81
Neuroblast 2,supertype,0137 DG Glut_2,5,0.014577259475218658,0.005714285714285714,0.008210180623973728,0.9219999999999999,0.95
Neuroblast 2,supertype,0138 DG Glut_3,1,0.0029154518950437317,0.047619047619047616,0.005494505494505495,0.87,0.87
Neuroblast 2,supertype,0141 DG-PIR Ex IMN_2,321,0.9358600583090378,0.7197309417040358,0.8136882129277565,0.9984735202492212,1.0
Neuroblast 2,supertype,0168 OB-STR-CTX Inh IMN_3,14,0.04081632653061224,0.9333333333333333,0.07821229050279328,0.9207142857142857,0.945
OL,supertype,1182 NFOL NN_2,1,0.021739130434782608,0.5,0.041666666666666664,0.99,0.99
OL,supertype,1183 MFOL NN_3,1,0.021739130434782608,1.0,0.042553191489361694,1.0,1.0
OL,supertype,1184 MOL NN_4,44,0.9565217391304348,1.0,0.9777777777777777,0.9977272727272727,1.0
OPC,supertype,1161 Astro-TE NN_1,1,0.027777777777777776,0.02,0.023255813953488372,0.81,0.81
OPC,supertype,1163 Astro-TE NN_3,1,0.027777777777777776,0.030303030303030304,0.028985507246376812,0.98,0.98
OPC,supertype,1180 OPC NN_2,2,0.05555555555555555,0.5,0.09999999999999999,0.995,0.995
OPC,supertype,1181 COP NN_1,32,0.8888888888888888,0.7272727272727273,0.7999999999999999,1.0,1.0
PVM,supertype,1187 VLMC NN_1,1,0.1,0.1,0.10000000000000002,1.0,1.0
PVM,supertype,1195 BAM NN_1,9,0.9,0.9,0.9,1.0,1.0
Pericytes,supertype,1191 Peri NN_1,1,0.05555555555555555,1.0,0.10526315789473684,1.0,1.0
Pericytes,supertype,1192 SMC NN_1,9,0.5,1.0,0.6666666666666666,1.0,1.0
Pericytes,supertype,1193 Endo NN_1,8,0.4444444444444444,0.12903225806451613,0.19999999999999998,1.0,1.0
Radial Glia-like,supertype,0141 DG-PIR Ex IMN_2,1,0.2,0.002242152466367713,0.004434589800443459,1.0,1.0
Radial Glia-like,supertype,1161 Astro-TE NN_1,4,0.8,0.08,0.14545454545454545,0.91,0.91
VLMC,supertype,1187 VLMC NN_1,9,0.75,0.9,0.8181818181818182,0.9666666666666666,0.98
VLMC,supertype,1188 VLMC NN_2,3,0.25,1.0,0.4,0.9833333333333334,0.98
nIPC,supertype,0141 DG-PIR Ex IMN_2,13,0.5,0.02914798206278027,0.05508474576271187,1.0,1.0
nIPC,supertype,0166 OB-STR-CTX Inh IMN_1,7,0.2692307692307692,0.875,0.411764705882353,1.0,1.0
nIPC,supertype,1162 Astro-TE NN_2,3,0.11538461538461539,1.0,0.20689655172413793,0.94,0.99
nIPC,supertype,1180 OPC NN_2,2,0.07692307692307693,0.5,0.13333333333333336,1.0,1.0
nIPC,supertype,1181 COP NN_1,1,0.038461538461538464,0.022727272727272728,0.028571428571428574,1.0,1.0
Astrocytes,cluster,5219 Astro-TE NN_1,45,0.5844155844155844,0.9782608695652174,0.7317073170731707,1.0,1.0
Astrocytes,cluster,5224 Astro-TE NN_3,32,0.4155844155844156,1.0,0.5871559633027523,0.999375,1.0
Cajal-Retzius,cluster,0497 HPF CR Glut_1,13,1.0,1.0,1.0,0.9723076923076923,1.0
Cck-Tox,cluster,0323 L2 IT PPP-APr Glut_2,1,0.3333333333333333,1.0,0.5,0.83,0.83
Cck-Tox,cluster,0327 L2 IT PPP-APr Glut_3,1,0.3333333333333333,1.0,0.5,0.89,0.89
Cck-Tox,cluster,0334 L2/3 IT PPP Glut_2,1,0.3333333333333333,1.0,0.5,0.86,0.86
Endothelial,cluster,5309 Endo NN_1,1,0.023809523809523808,1.0,0.046511627906976744,1.0,1.0
Endothelial,cluster,5310 Endo NN_1,37,0.8809523809523809,0.8222222222222222,0.8505747126436781,0.9697297297297298,1.0
Endothelial,cluster,5311 Endo NN_1,4,0.09523809523809523,1.0,0.17391304347826084,0.9199999999999999,0.9299999999999999
GABA-Cnr1,cluster,0689 RHP-COA Ndnf Gaba_1,5,0.7142857142857143,1.0,0.8333333333333333,0.9719999999999999,0.96
GABA-Cnr1,cluster,0699 RHP-COA Ndnf Gaba_5,1,0.14285714285714285,1.0,0.25,1.0,1.0
GABA-Cnr1,cluster,0704 RHP-COA Ndnf Gaba_6,1,0.14285714285714285,0.5,0.22222222222222224,1.0,1.0
GABA-Lhx6,cluster,0704 RHP-COA Ndnf Gaba_6,1,0.08333333333333333,0.5,0.14285714285714285,1.0,1.0
GABA-Lhx6,cluster,0726 Lamp5 Lhx6 Gaba_1,2,0.16666666666666666,1.0,0.2857142857142857,0.99,0.99
GABA-Lhx6,cluster,0729 Lamp5 Lhx6 Gaba_1,2,0.16666666666666666,1.0,0.2857142857142857,0.955,0.955
GABA-Lhx6,cluster,0732 Pvalb chandelier Gaba_1,1,0.08333333333333333,1.0,0.15384615384615385,1.0,1.0
GABA-Lhx6,cluster,0786 Sst Gaba_6,2,0.16666666666666666,1.0,0.2857142857142857,0.9199999999999999,0.9199999999999999
GABA-Lhx6,cluster,0788 Sst Gaba_6,1,0.08333333333333333,1.0,0.15384615384615385,0.92,0.92
GABA-Lhx6,cluster,0789 Sst Gaba_6,2,0.16666666666666666,1.0,0.2857142857142857,0.905,0.905
GABA-Lhx6,cluster,0790 Sst Gaba_6,1,0.08333333333333333,1.0,0.15384615384615385,0.82,0.82
Granule-immature,cluster,0503 DG Glut_1,1,0.008547008547008548,0.5,0.016806722689075633,0.95,0.95
Granule-immature,cluster,0506 DG Glut_2,34,0.2905982905982906,0.40963855421686746,0.33999999999999997,0.9126470588235295,0.915
Granule-immature,cluster,0507 DG Glut_2,68,0.5811965811965812,0.9444444444444444,0.7195767195767196,0.9117647058823529,0.915
Granule-immature,cluster,0508 DG Glut_3,1,0.008547008547008548,1.0,0.016949152542372885,0.99,0.99
Granule-immature,cluster,0510 DG Glut_4,1,0.008547008547008548,1.0,0.016949152542372885,1.0,1.0
Granule-immature,cluster,0514 DG-PIR Ex IMN_2,12,0.10256410256410256,0.42857142857142855,0.16551724137931034,0.9583333333333334,0.97
Granule-mature,cluster,0505 DG Glut_2,1,0.01694915254237288,1.0,0.03333333333333333,0.92,0.92
