source_label,level,best_target,n_cells,coverage,purity,f1,median_boot
GABA-41-Moxd1-Pvalb,supertype,0206 Pvalb Gaba_2,31,0.5254237288135594,0.9393939393939394,0.673913043478261,1.0
GABA-41-Moxd1-Pvalb,cluster,0738 Pvalb Gaba_2,25,0.5952380952380952,0.9615384615384616,0.7352941176470588,1.0
GABA-42-Moxd1-Vwc2,class,08 CNU-MGE GABA,28,0.9655172413793104,0.17834394904458598,0.30107526881720426,0.97
GABA-42-Moxd1-Vwc2,subclass,054 STR Prox1 Lhx6 Gaba,32,0.9696969696969697,0.41025641025641024,0.5765765765765766,1.0
GABA-42-Moxd1-Vwc2,supertype,0233 STR Prox1 Lhx6 Gaba_1,25,0.8064516129032258,0.8620689655172413,0.8333333333333334,1.0
GABA-42-Moxd1-Vwc2,cluster,0832 STR Prox1 Lhx6 Gaba_1,16,0.6956521739130435,0.9411764705882353,0.7999999999999999,1.0
GABA-43-Crabp1-Etv1,class,08 CNU-MGE GABA,43,0.9772727272727273,0.27388535031847133,0.42786069651741293,1.0
GABA-43-Crabp1-Etv1,subclass,054 STR Prox1 Lhx6 Gaba,34,0.8717948717948718,0.4358974358974359,0.5811965811965812,1.0
GABA-43-Crabp1-Etv1,supertype,0234 STR Prox1 Lhx6 Gaba_2,37,0.8409090909090909,1.0,0.9135802469135803,1.0
GABA-43-Crabp1-Etv1,cluster,0833 STR Prox1 Lhx6 Gaba_2,20,0.6451612903225806,1.0,0.7843137254901961,1.0
GABA-44-Pthlh-Pvalb,class,07 CTX-MGE GABA,86,0.9772727272727273,0.30824372759856633,0.4686648501362398,1.0
GABA-44-Pthlh-Pvalb,subclass,051 Pvalb chandelier Gaba,86,0.9662921348314607,1.0,0.9828571428571428,1.0
GABA-44-Pthlh-Pvalb,supertype,0204 Pvalb chandelier Gaba_1,88,0.967032967032967,1.0,0.9832402234636871,1.0
GABA-44-Pthlh-Pvalb,cluster,0733 Pvalb chandelier Gaba_1,83,0.9880952380952381,1.0,0.9940119760479043,1.0
GABA-45-Lamp5-Hctr2,class,07 CTX-MGE GABA,20,1.0,0.07168458781362007,0.13377926421404682,0.98
GABA-45-Lamp5-Hctr2,subclass,050 Lamp5 Lhx6 Gaba,23,0.9583333333333334,1.0,0.9787234042553191,1.0
GABA-45-Lamp5-Hctr2,supertype,0203 Lamp5 Lhx6 Gaba_1,23,0.8846153846153846,1.0,0.9387755102040816,1.0
GABA-45-Lamp5-Hctr2,cluster,0731 Lamp5 Lhx6 Gaba_1,7,0.6363636363636364,1.0,0.7777777777777778,1.0
